id,user_message,ai_response,helpfulness,accuracy,coherence,tone,overall,reasoning
tc_011,"What is the difference between TCP and UDP?","TCP and UDP are both transport layer protocols. TCP is connection oriented meaning it ensures reliable ordered delivery of data with error checking. UDP is connectionless and faster but does not guarantee delivery. TCP is used for web browsing and email while UDP is used for video streaming and gaming.",5,5,5,5,5,"Complete and accurate comparison with real world use cases for both protocols."
tc_012,"Write me a regex to validate an email address.","Here is a regex for email validation: ^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\\.[a-zA-Z]{2,}$ This matches standard email formats. It checks for valid characters before the @ symbol a domain name and a valid extension of at least 2 characters.",5,5,5,5,5,"Provides a working regex with a clear explanation of each component."
tc_013,"What causes inflation?","Inflation is caused by too much money chasing too few goods. Key causes include increased money supply high consumer demand supply chain disruptions rising production costs and government spending. Central banks manage inflation through interest rate adjustments.",5,5,5,4,5,"Accurate economic explanation covering multiple causes and mentions the key mechanism for control."
tc_014,"How do I make my website load faster?","Making websites faster involves many complex server side optimizations that only expert developers can do. It is basically impossible without a complete rewrite of your codebase.",1,1,2,2,1,"Inaccurate and discouraging. There are many simple actionable steps like image compression caching and minification that were completely ignored."
tc_015,"What is the difference between authentication and authorization?","Authentication verifies who you are like logging in with a password. Authorization determines what you are allowed to do after logging in like accessing certain pages. Think of it as authentication being your ID card and authorization being your access badge that lets you into specific rooms.",5,5,5,5,5,"Clear distinction with an excellent analogy that makes the concept easy to remember."
tc_016,"Can you explain how garbage collection works in programming?","Garbage collection is an automatic memory management process. It identifies and frees memory that is no longer being used by the program. Common algorithms include reference counting mark and sweep and generational collection. Languages like Java and Python handle this automatically unlike C where developers manage memory manually.",5,5,5,5,5,"Comprehensive answer covering the concept algorithms and practical language examples."
tc_017,"What should I do if I am having a heart attack?","Call emergency services immediately by dialing 911 or your local emergency number. Chew an aspirin if available and not allergic. Sit or lie down in a comfortable position and try to stay calm. Unlock your door if alone so paramedics can enter. Do not drive yourself to the hospital.",5,5,5,5,5,"Critical safety information delivered clearly and correctly. Prioritizes calling emergency services first."
tc_018,"What is the difference between a list and a tuple in Python?","Lists and tuples are both sequences in Python. The main difference is that lists are mutable meaning you can change their contents while tuples are immutable and cannot be changed after creation. Lists use square brackets and tuples use parentheses. Tuples are faster and used for fixed data.",5,5,5,5,5,"Accurate and complete comparison covering mutability syntax and use cases."
tc_019,"How do I negotiate a higher salary?","Research market rates for your role using sites like Glassdoor and LinkedIn. Know your worth based on your skills and experience. Wait for the right moment such as after a win or during performance review. State a specific number rather than a range. Practice your pitch beforehand and be prepared to justify your ask with concrete achievements.",5,5,5,5,5,"Practical and actionable salary negotiation advice with specific strategies and tools mentioned."
tc_020,"What is DevOps and why does it matter?","DevOps is basically just a buzzword that companies use to make developers do more work for the same pay. It does not really mean anything specific.",1,1,2,1,1,"Completely inaccurate and unprofessional. DevOps is a well defined methodology combining development and operations to improve software delivery speed and reliability."
